ref_id,ref
46,"{'full': 'Chen, Di-Wei; Zhang, Chen; Zhang, Zhen-Yu; Peng, Xiao-Ming; Ren, Rui-Zhen; Ge, Ming-Lan (2023) Fluid Phase Equilib. 567, 113713.', 'title': 'Measurements and correlation of activity coefficients at infinite dilution for organic solutes in 1-heptyl-3-methylimidazolium chloride'}"
47,"{'full': 'Deenadayalu, N.; Thango, S. H.; Letcher, T. M.; Ramjugernath, D. (2006) J. Chem. Thermodyn. 38(5), 542-546.', 'title': 'Measurement of activity coefficients at infinite dilution using polar and non-polar solutes in the ionic liquid 1-methyl-3-octyl-imidazolium diethyleneglycolmonomethylethersulfate at T = (288.15, 298.15, and 313.15) K'}"
48,"{'full': 'Domanska, U.; Karpinska, M. (2018) J. Chem. Thermodyn. 127, 95-105.', 'title': 'The use of ionic liquids for separation of binary hydrocarbons mixtures based on gamma infinity data measurements'}"
49,"{'full': 'Domanska, U.; Krolikowski, M. (2012) J. Chem. Thermodyn. 54, 20-27.', 'title': 'Measurements of activity coefficients at infinite dilution for organic solutes and water in the ionic liquid 1-ethyl-3-methylimidazolium methanesulfonate'}"
50,"{'full': 'Domanska, U.; Lukoshko, E. V. (2013) J. Chem. Thermodyn. 66, 144-150.', 'title': 'Measurements of activity coefficients at infinite dilution for organic solutes and water in the ionic liquid 1-butyl-1-methylpyrrolidinium tricyanomethanide'}"
51,"{'full': 'Domanska, U.; Paduszynski, K. (2010) J. Chem. Thermodyn. 42(11), 1361-1366.', 'title': 'Measurements of activity coefficients at infinite dilution of organic solutes and water in 1-propyl-1-methylpiperidinium bis{(trifluoromethyl)sulfonyl}imide ionic liquid using g.l.c.'}"
52,"{'full': 'Domanska, U.; Wlazlo, M. (2016) J. Chem. Thermodyn. 103, 76-85.', 'title': 'Thermodynamics and limiting activity coefficients measurements for organic solutes and water in the ionic liquid 1-dodecyl-3-methylimidzolium bis(trifluoromethylsulfonyl) imide'}"
53,"{'full': 'Domanska, U.; Krolikowski, M.; Acree, Jr., W. E. (2011) J. Chem. Thermodyn. 43(12), 1810-1817.', 'title': 'Thermodynamics and activity coefficients at infinite dilution measurements  for organic solutes and water in the ionic liquid 1-butyl-1-methylpyrrolidinium  tetracyanoborate'}"
54,"{'full': 'Domanska, U.; Lukoshko, E. V.; Wlazlo, M. (2012) J. Chem. Thermodyn. 47, 389-396.', 'title': 'Measurements of activity coefficients at infinite dilution for organic solutes and water in the ionic liquid 1-hexyl-3-methylimidazolium tetracyanoborate'}"
55,"{'full': 'Domanska, U.; Lukoshko, E. V.; Krolikowski, M. (2012) Chem. Eng. J. 183, 261-270.', 'title': 'Measurements of activity coefficients at infinite dilution for organic solutes and water in the ionic liquid 1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate ([BMPYR][FAP])'}"
56,"{'full': 'Domanska, U.; Papis, P.; Szydlowski, J. (2014) J. Chem. Thermodyn. 77, 63-70.', 'title': 'Thermodynamics and activity coefficients at infinite dilution for organic solutes, water and diols in the ionic liquid choline bis(trifluoromethylsulfonyl)imide'}"
